chr_snp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124
CE10_chr2_18628569,2,18,15,5,8,8,11,3,7,9,11,9,1,3,1,3,17,1,15,5,8,0,0,0,0,0,2,0,6,0,8,4,10,0,11,1,5,1,10,0,7,1,8,0,4,0,4,0,4,0,10,4,1,3,5,1,5,5,12,4,15,5,6,0,8,2,1,3,8,8,6,2,1,1,10,2,19,1,8,4,9,3,5,7,8,8,2,2,13,3,1,3,2,0,14,0,12,4,18,2,17,1,18,0,6,2,0,2,9,1,15,3,17,1,5,3,4,0,10,0,14,0,17,3
CE10_chr2_18631100,4,16,14,6,7,9,9,9,9,9,13,7,1,3,9,1,18,2,15,5,20,0,14,0,12,0,10,0,8,0,14,4,14,0,10,0,11,1,20,0,9,1,12,0,18,0,14,0,4,0,12,2,2,2,5,1,4,4,11,5,13,7,6,2,8,2,1,3,9,9,7,1,1,1,11,3,19,1,10,2,10,0,2,10,12,8,2,2,10,2,2,2,1,1,16,0,13,3,18,2,17,1,18,0,5,3,0,2,9,1,14,4,14,2,4,2,5,1,10,0,14,0,17,3
CE10_chr2_18632042,3,15,13,5,7,9,14,4,8,10,14,4,1,3,9,1,19,1,15,5,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,12,0,20,0,8,2,12,0,16,0,14,0,6,0,11,3,1,3,4,2,4,6,12,4,15,5,6,2,8,0,1,1,10,8,6,2,0,2,12,2,20,0,8,2,9,3,1,11,10,10,2,2,12,4,1,3,1,1,16,0,11,5,18,2,17,1,18,0,5,3,0,2,10,0,13,3,15,3,4,2,6,0,10,0,14,0,16,2
CE10_chr2_18632869,3,15,17,3,5,11,14,4,9,9,14,6,1,3,4,4,19,1,14,4,20,0,14,0,12,0,10,0,8,0,12,4,14,0,12,0,11,1,20,0,9,1,12,0,18,0,14,0,6,0,11,3,1,3,5,1,5,5,9,5,12,6,6,2,8,2,1,3,9,9,6,2,2,0,12,2,18,0,10,2,10,2,2,8,10,10,2,2,12,4,1,3,2,0,15,1,11,3,18,2,18,0,16,0,5,3,0,2,8,0,15,3,15,3,6,2,6,0,10,0,10,0,17,3
CE10_chr2_18687403,6,14,19,1,11,5,14,4,10,8,9,11,1,3,5,5,18,2,15,3,0,20,5,9,2,10,0,8,2,6,4,12,3,11,1,9,5,7,7,13,1,9,8,4,6,10,4,8,5,1,11,3,1,3,4,2,4,6,12,4,14,6,3,3,8,2,1,3,8,10,6,2,1,1,10,4,19,1,10,2,8,4,3,9,11,7,2,2,13,3,0,4,2,0,14,2,16,0,20,0,18,0,18,0,8,0,2,0,10,0,18,0,15,3,5,3,4,2,10,0,14,0,16,2
CE10_chr2_18734446,5,13,18,2,7,5,15,3,8,10,11,9,1,3,3,3,17,3,16,4,0,20,3,11,1,11,1,9,3,5,7,11,3,9,1,9,5,7,7,13,2,8,5,7,7,9,3,7,5,1,12,2,1,3,5,1,4,6,11,5,13,7,6,2,8,2,1,3,8,10,7,1,1,1,10,4,18,0,9,3,9,3,2,8,13,7,2,2,14,2,1,3,1,1,13,3,16,0,20,0,18,0,18,0,8,0,2,0,10,0,15,1,16,2,6,2,3,3,10,0,14,0,17,3
CE10_chr2_18738517,6,14,19,1,11,5,16,2,13,5,13,5,1,3,9,1,19,1,16,4,20,0,14,0,12,0,10,0,8,0,14,4,12,0,12,0,10,2,20,0,10,0,12,0,18,0,13,1,6,0,12,2,0,2,5,1,4,6,11,5,13,7,6,2,8,2,1,3,9,7,6,2,2,0,12,2,20,0,9,3,9,1,5,7,11,9,2,2,15,1,2,2,2,0,15,1,16,0,20,0,18,0,18,0,8,0,2,0,9,1,17,1,15,3,5,1,5,1,10,0,14,0,17,3
CE10_chr2_18769194,6,12,19,1,12,4,15,3,11,7,14,6,1,3,8,2,19,1,13,5,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,10,0,12,0,18,0,12,2,6,0,11,3,1,3,5,1,4,4,11,5,14,6,6,2,8,2,1,3,10,8,6,2,1,1,9,3,19,1,8,4,9,3,5,7,13,5,2,2,11,3,1,1,2,0,16,0,16,0,20,0,17,1,18,0,8,0,2,0,10,0,18,0,15,1,6,2,5,1,10,0,14,0,16,2
CE10_chr2_18963389,5,11,18,2,11,5,15,3,10,8,13,7,2,2,7,3,18,2,15,5,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,18,0,13,1,6,0,9,3,1,3,5,1,3,7,12,4,14,6,3,3,8,0,1,3,8,8,7,1,1,1,8,4,18,2,7,3,8,4,5,7,11,7,2,2,14,2,1,3,0,0,16,0,16,0,20,0,18,0,18,0,8,0,2,0,10,0,17,1,16,2,6,2,5,1,10,0,14,0,18,2
CE10_chr2_18963507,5,15,16,2,11,5,15,3,12,6,10,8,2,2,7,3,18,2,14,6,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,16,0,14,0,6,0,10,4,1,3,5,1,4,6,11,5,14,6,6,2,8,2,1,3,10,8,6,2,2,0,11,3,18,2,8,4,9,3,6,6,9,9,2,2,14,2,2,2,1,1,16,0,16,0,20,0,17,1,18,0,8,0,2,0,10,0,17,1,15,3,5,3,6,0,10,0,14,0,18,2
CE10_chr2_18963606,4,14,18,2,11,5,15,1,9,9,11,7,1,3,3,1,17,1,15,5,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,1,3,1,0,0,6,0,4,0,0,2,4,0,9,5,0,4,6,0,4,6,10,6,15,5,7,1,8,2,1,3,8,8,6,2,2,0,7,1,18,2,7,5,9,3,3,9,8,8,2,2,14,2,1,3,1,1,14,0,16,0,20,0,16,0,18,0,8,0,2,0,10,0,17,1,16,2,5,3,2,0,10,0,14,0,17,3
CE10_chr2_18965007,9,11,16,4,11,5,16,2,9,9,11,9,1,3,8,2,19,1,15,5,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,16,0,14,0,6,0,8,4,1,3,5,1,4,6,11,5,11,5,5,1,8,2,1,3,10,8,6,2,1,1,13,1,18,2,7,5,9,3,3,9,10,10,2,2,11,1,1,3,1,1,15,1,16,0,20,0,17,1,18,0,8,0,2,0,10,0,18,0,14,4,6,2,3,1,10,0,12,0,17,3
CE10_chr3_9051058,18,2,13,7,7,5,11,5,16,0,19,1,4,0,8,0,18,2,14,6,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,10,0,20,0,10,0,12,0,18,0,14,0,5,1,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,18,2,9,3,12,0,12,0,15,5,3,1,14,2,4,0,2,0,13,3,15,1,20,0,17,1,18,0,8,0,2,0,5,5,18,0,6,10,3,5,4,2,2,2,5,7,10,10
CE10_chr3_9069413,18,2,14,6,10,6,13,5,16,2,19,1,4,0,10,0,18,2,15,5,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,20,0,10,0,12,0,18,0,14,0,3,3,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,19,1,9,3,11,1,12,0,16,4,4,0,12,4,4,0,2,0,14,2,15,1,20,0,16,2,17,1,8,0,1,1,5,5,18,0,8,8,3,5,5,1,2,8,6,8,9,11
CE10_chr3_9074033,17,3,16,4,11,5,12,6,15,3,19,1,4,0,10,0,17,3,16,4,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,18,0,10,0,12,0,16,0,14,0,5,1,14,0,4,0,6,0,10,0,16,0,20,0,8,0,10,0,4,0,18,0,8,0,2,0,14,0,20,0,10,2,10,0,12,0,15,3,3,1,11,3,4,0,2,0,10,0,14,0,20,0,14,0,16,0,8,0,1,1,5,5,18,0,10,8,3,5,4,2,3,7,4,10,8,12
CE10_chr3_9074298,17,3,13,7,10,6,11,7,15,3,19,1,4,0,10,0,15,3,13,7,20,0,14,0,12,0,10,0,8,0,18,0,12,0,12,0,11,1,20,0,10,0,12,0,18,0,14,0,3,1,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,18,2,9,3,11,1,12,0,17,3,4,0,12,2,4,0,2,0,12,2,15,1,20,0,16,2,16,2,8,0,1,1,5,5,18,0,8,10,3,5,4,2,1,7,4,10,9,11
CE10_chr3_9074698,17,3,13,7,10,6,13,5,15,3,19,1,4,0,6,0,16,4,16,4,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,19,1,10,0,12,0,18,0,14,0,4,2,14,0,4,0,6,0,10,0,16,0,20,0,8,0,10,0,4,0,18,0,8,0,2,0,14,0,19,1,9,3,11,1,12,0,15,5,2,0,12,2,4,0,2,0,12,2,15,1,20,0,15,1,16,0,8,0,1,1,5,5,18,0,9,9,4,4,3,1,3,7,5,9,8,10
CE10_chr3_9076446,18,2,13,7,9,5,12,6,15,3,19,1,4,0,10,0,15,3,14,6,18,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,20,0,10,0,12,0,18,0,14,0,4,2,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,19,1,9,3,11,1,12,0,16,4,2,0,11,3,4,0,2,0,14,2,15,1,20,0,16,2,17,1,8,0,1,1,5,5,18,0,8,10,4,4,4,2,3,7,5,9,9,11
CE10_chr3_9077851,18,2,13,7,9,7,11,5,15,3,19,1,4,0,8,0,17,3,15,5,20,0,14,0,12,0,10,0,6,0,18,0,14,0,12,0,11,1,20,0,10,0,12,0,16,0,14,0,3,3,14,0,2,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,19,1,8,4,12,0,12,0,16,4,3,1,12,4,4,0,2,0,12,0,14,0,20,0,14,0,18,0,8,0,1,1,5,5,18,0,9,7,3,5,5,1,2,8,5,9,10,8
CE10_chr3_9078179,17,3,14,6,10,4,12,6,14,2,19,1,4,0,10,0,15,5,14,6,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,12,0,20,0,10,0,12,0,18,0,14,0,4,2,12,0,4,0,6,0,10,0,16,0,19,1,8,0,9,1,4,0,18,0,8,0,2,0,14,0,19,1,9,3,12,0,12,0,16,4,3,1,12,4,4,0,2,0,13,3,15,1,20,0,16,2,18,0,8,0,1,1,6,4,18,0,9,9,3,5,5,1,3,7,3,11,9,11
CE10_chr3_9084105,16,2,14,6,9,5,14,4,15,3,20,0,4,0,10,0,16,4,14,6,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,20,0,8,0,12,0,18,0,14,0,5,1,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,19,1,9,3,11,1,12,0,15,3,2,0,13,3,4,0,2,0,12,2,15,1,20,0,17,1,16,0,8,0,1,1,5,5,18,0,9,9,3,5,4,2,3,7,4,10,9,11
CE10_chr3_9084917,19,1,14,6,9,7,11,7,15,3,19,1,4,0,10,0,16,4,13,5,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,20,0,10,0,12,0,18,0,14,0,4,2,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,19,1,12,0,12,0,12,0,18,2,4,0,11,5,4,0,2,0,16,0,16,0,20,0,18,0,18,0,8,0,1,1,5,5,18,0,10,6,4,4,5,1,3,7,3,9,10,10
CE10_chr3_9085092,15,3,16,4,9,5,12,6,15,3,18,2,4,0,10,0,16,4,15,5,20,0,14,0,12,0,10,0,8,0,18,0,14,0,12,0,11,1,19,1,10,0,12,0,18,0,12,0,4,2,14,0,4,0,6,0,10,0,16,0,20,0,8,0,9,1,4,0,18,0,8,0,2,0,14,0,20,0,10,2,12,0,12,0,16,4,3,1,13,3,4,0,2,0,12,4,15,1,20,0,15,3,17,1,8,0,0,0,5,5,18,0,5,9,3,5,5,1,2,8,3,11,9,11
CE10_chr4_9192054,11,9,11,9,5,9,11,5,13,5,17,3,4,0,6,4,16,4,18,2,0,20,1,13,1,11,1,9,1,7,15,3,12,2,11,1,8,4,12,4,2,8,6,6,7,9,6,8,6,0,11,3,4,0,6,0,10,0,16,0,18,2,7,1,6,4,4,0,16,0,5,3,2,0,14,0,20,0,8,4,12,0,12,0,19,1,2,2,14,0,4,0,2,0,16,0,16,0,20,0,16,0,16,0,5,3,2,0,7,3,15,3,10,8,5,3,5,1,5,5,9,5,15,5
CE10_chr4_9192728,9,11,9,9,5,11,11,7,13,5,16,4,4,0,6,2,15,3,17,3,0,20,1,13,1,11,1,9,1,7,15,3,11,3,10,2,9,3,14,4,2,8,7,5,9,9,3,11,6,0,11,3,4,0,6,0,10,0,16,0,17,3,7,1,6,4,4,0,18,0,5,3,2,0,13,1,20,0,9,3,12,0,12,0,20,0,2,2,16,0,4,0,2,0,16,0,16,0,20,0,18,0,18,0,6,2,2,0,7,3,15,3,10,8,5,3,5,1,6,4,9,5,12,8
CE10_chr4_9193464,9,9,12,8,6,10,11,5,14,4,15,5,4,0,7,3,17,3,18,2,0,20,2,12,1,9,1,9,1,7,15,3,13,1,11,1,9,3,17,3,3,7,11,1,7,11,8,6,6,0,13,1,4,0,6,0,10,0,16,0,17,3,6,0,7,3,4,0,18,0,5,3,2,0,11,1,20,0,8,2,12,0,12,0,19,1,2,2,14,0,4,0,2,0,16,0,16,0,18,0,18,0,18,0,5,3,2,0,7,3,15,3,9,9,5,3,4,0,6,4,10,4,14,6
CE10_chr4_9194258,11,9,9,9,7,9,13,5,13,5,16,4,2,0,6,2,17,3,16,2,0,18,2,12,2,10,1,9,1,7,13,3,10,4,11,1,8,4,14,6,3,7,9,3,6,12,4,8,6,0,11,3,2,0,6,0,10,0,16,0,18,2,7,1,5,5,4,0,18,0,5,3,2,0,12,0,20,0,7,3,12,0,10,0,19,1,4,0,16,0,4,0,2,0,16,0,16,0,20,0,18,0,18,0,5,3,2,0,7,3,16,0,10,6,5,3,4,2,6,4,10,4,14,6
CE10_chr4_9195003,10,8,9,11,5,11,11,7,14,4,14,4,4,0,7,3,17,3,17,3,0,20,2,12,1,11,1,9,1,7,16,2,11,3,11,1,8,2,15,5,3,7,8,4,8,10,7,7,6,0,11,3,4,0,6,0,10,0,16,0,18,2,7,1,7,3,4,0,18,0,5,3,2,0,12,0,20,0,8,4,10,0,12,0,19,1,3,1,16,0,4,0,2,0,16,0,16,0,20,0,18,0,18,0,4,4,2,0,7,3,15,3,8,8,5,3,4,2,7,3,9,5,14,6
CE10_chr4_9195102,12,8,8,10,7,9,12,6,14,4,16,4,4,0,9,1,16,4,16,4,0,20,1,13,1,11,1,9,1,7,15,3,13,1,11,1,9,3,15,5,3,7,9,3,8,10,6,8,6,0,12,2,4,0,6,0,10,0,16,0,17,3,8,0,6,4,4,0,18,0,6,2,2,0,14,0,20,0,9,3,12,0,12,0,19,1,2,2,16,0,4,0,2,0,16,0,16,0,20,0,18,0,18,0,4,4,2,0,8,2,15,3,10,8,4,4,5,1,7,3,9,5,15,5
CE10_chr6_52682981,12,6,13,5,15,1,13,5,11,7,11,9,4,0,7,3,19,1,18,2,18,2,13,1,5,7,3,7,4,4,17,1,9,5,10,2,11,1,17,3,6,4,5,5,17,1,14,0,5,1,12,2,4,0,2,4,5,3,10,6,16,4,6,2,4,6,4,0,16,2,6,2,1,1,4,10,16,4,9,3,9,3,3,9,10,10,1,3,10,4,0,4,2,0,2,14,0,16,0,20,0,16,0,18,5,3,0,2,7,3,11,7,7,9,3,5,3,3,1,9,6,8,5,15
