Site,Year,CE10_chr1_10420560,CE10_chr1_37340153,CE10_chr1_40641544,CE10_chr2_2890930,CE10_chr2_13563156,CE10_chr2_18318806,CE10_chr2_18511041,CE10_chr2_18534760,CE10_chr2_18539723,CE10_chr2_18541798,CE10_chr2_18542068,CE10_chr2_18582838,CE10_chr2_18584866,CE10_chr2_18588476,CE10_chr2_18631100,CE10_chr2_18632042,CE10_chr2_18632869,CE10_chr2_18687403,CE10_chr2_18695632,CE10_chr2_18734446,CE10_chr2_18738517,CE10_chr2_18741844,CE10_chr2_18960949,CE10_chr2_18961314,CE10_chr2_18963389,CE10_chr2_18963507,CE10_chr2_18963606,CE10_chr2_18965007,CE10_chr2_41091592,CE10_chr3_13096437,CE10_chr3_28931309,CE10_chr3_43102264,CE10_chr3_45146794,CE10_chr3_49434709,CE10_chr3_49436387,CE10_chr4_43732031,CE10_chr4_45367078,CE10_chr5_3851138,CE10_chr5_6592466,CE10_chr5_41394643,CE10_chr5_42944506,CE10_chr6_8042005,CE10_chr6_10140458,CE10_chr6_10145222,CE10_chr6_52682981,CE10_chr6_52686214,CE10_chr6_52686491,CE10_chr6_52686524,CE10_chr6_52686709,CE10_chr6_52687031,CE10_chr6_52687062,CE10_chr6_52687204,CE10_chr6_52689350,CE10_chr6_56409031,CE10_chr6_56504004,CE10_chr6_56504967,CE10_chr6_56505268,CE10_chr6_56505735,CE10_chr6_56505767,CE10_chr6_56507770,CE10_chr6_56508033,CE10_chr6_56508360,CE10_chr6_56508405,CE10_chr6_56508510,CE10_chr6_56508903,CE10_chr6_56509130,CE10_chr6_60718601,CE10_chr7_10591619,CE10_chr7_23731913,CE10_chr7_30318081,CE10_chr7_30318160,CE10_chr7_30907068,CE10_chr7_30912263,CE10_chr7_33956812,CE10_chr7_40848773,CE10_chr8_1037756,CE10_chr8_4027355,CE10_chr8_4030884,CE10_chr8_6815151,CE10_chr8_11198607,CE10_chr8_47308615,CE10_chr8_47309276
12,2010,20,2,2,4,20,20,0,0,12,0,20,0,0,6,0,0,0,20,0,20,0,20,20,16,0,0,0,20,18,12,20,4,19,19,0,20,20,1,0,9,1,0,20,0,18,17,16,17,17,18,18,19,18,0,12,15,0,15,16,13,15,15,15,13,14,16,19,18,20,20,20,20,14,0,0,0,18,20,11,1,20,17
12,2011,14,2,4,4,14,12,0,0,14,0,14,0,0,2,0,0,0,9,0,11,0,14,11,6,0,0,0,14,14,12,14,2,13,14,1,14,14,0,3,9,0,0,14,0,13,13,13,13,13,13,13,14,13,0,14,14,0,14,14,14,12,12,12,14,14,14,14,13,12,14,14,14,11,0,1,0,14,14,8,3,14,12
12,2013,12,4,2,0,12,11,0,0,12,0,12,0,0,2,0,0,0,10,0,11,0,12,11,5,0,0,0,12,10,12,12,6,12,12,0,12,12,0,1,12,0,0,12,0,5,6,6,6,5,6,6,7,7,0,7,5,0,6,6,7,4,7,6,7,4,6,9,9,12,12,12,12,7,0,0,0,12,12,7,0,12,9
12,2015,10,4,2,2,10,9,0,0,8,0,10,0,0,2,0,0,0,8,0,9,0,10,10,10,0,0,0,10,10,8,10,4,7,10,1,10,10,0,0,4,4,0,10,0,3,3,4,4,4,2,1,1,2,0,6,6,0,5,5,5,5,6,5,6,5,6,10,8,10,10,10,10,7,0,0,0,10,10,2,0,10,10
12,2016,8,2,0,0,8,7,0,0,8,0,8,0,0,0,0,0,0,6,0,5,0,8,6,6,0,0,0,8,8,6,8,4,6,8,5,8,8,1,1,2,0,0,8,0,4,4,4,4,4,4,4,4,5,0,7,7,0,7,7,7,6,7,7,7,7,7,7,6,8,8,8,8,6,0,0,2,8,8,6,0,8,8
1,2010,18,1,2,0,16,12,4,4,12,4,14,4,4,4,4,4,4,12,0,11,4,14,13,14,4,4,4,14,12,14,18,4,14,18,2,17,18,1,2,5,8,0,14,2,17,16,14,13,16,16,14,14,14,4,5,3,0,5,5,4,2,3,3,4,4,4,13,13,18,13,14,14,14,0,0,2,14,14,13,4,10,15
1,2011,14,0,1,0,14,11,0,0,14,0,14,0,0,5,0,0,0,11,0,9,0,14,11,11,0,0,0,14,14,14,14,6,11,11,4,14,14,0,1,8,4,0,12,0,9,9,10,10,9,11,10,8,12,1,6,5,0,5,6,5,4,6,6,7,5,6,12,9,14,14,14,12,12,0,2,0,14,14,13,5,13,12
1,2012,12,0,6,2,12,10,0,0,12,0,12,0,0,2,0,0,0,9,0,9,0,12,11,10,0,0,0,12,12,12,12,5,9,11,2,12,12,0,2,3,2,0,12,0,10,8,8,7,7,7,8,8,9,0,1,1,0,1,1,1,0,1,1,1,1,1,6,3,12,12,12,12,12,0,0,4,11,12,7,6,8,12
1,2013,12,0,2,0,10,8,1,1,11,1,12,1,1,3,1,0,1,7,0,7,2,11,8,8,1,1,1,11,11,12,12,4,8,11,1,12,12,0,3,6,4,0,11,1,11,8,8,7,9,8,8,8,8,2,9,6,0,6,8,9,9,9,9,9,9,9,9,9,12,10,10,8,8,0,0,2,12,12,10,4,8,12
1,2014,20,0,2,4,20,13,0,0,20,0,20,0,0,0,0,0,0,13,0,13,0,19,13,13,0,0,1,20,20,20,20,9,11,17,11,20,20,0,2,5,13,0,20,0,17,13,13,13,13,11,11,13,14,3,13,14,0,13,11,14,9,13,13,12,8,14,14,9,20,20,20,19,17,0,2,2,19,18,18,12,18,16
2,2010,10,2,2,0,10,9,1,2,9,1,9,2,1,2,1,2,1,9,0,8,0,9,9,7,1,1,0,9,8,8,10,0,6,9,5,10,10,0,0,5,4,0,7,0,6,6,6,6,6,6,6,6,6,1,9,8,0,4,7,7,7,6,6,7,7,6,9,10,10,9,9,9,9,0,0,0,10,10,8,4,4,10
2,2011,12,0,1,0,12,4,0,0,12,0,12,0,0,0,0,0,0,4,0,7,0,12,4,4,0,0,0,12,10,10,10,3,5,10,7,12,12,0,1,8,5,0,12,0,5,7,7,7,7,7,7,7,7,0,10,8,0,5,5,10,9,9,9,8,9,8,7,12,12,11,10,10,11,0,0,0,12,12,12,4,6,9
2,2014,18,2,0,0,18,11,0,0,12,0,18,0,0,0,0,0,0,10,0,9,0,18,12,9,0,0,0,16,18,16,18,5,11,15,11,18,18,2,3,8,8,0,18,0,17,18,18,18,18,18,18,16,16,0,17,17,0,13,16,17,17,15,15,16,17,11,15,16,18,18,18,18,18,0,0,0,18,18,16,5,18,15
2,2015,14,0,2,2,14,11,0,0,10,0,14,0,0,0,0,0,0,8,0,7,1,13,8,10,1,0,2,14,14,14,14,0,10,7,3,10,14,1,1,5,10,0,14,0,14,14,14,14,12,14,14,12,12,0,14,14,0,6,14,12,8,14,14,14,12,12,10,14,14,14,14,14,14,0,0,0,14,14,10,7,10,7
2,2016,6,1,4,0,2,0,0,0,4,0,6,0,0,0,0,0,0,1,0,1,0,6,1,1,0,0,0,6,1,3,3,1,2,4,3,4,6,0,0,6,2,0,4,0,5,5,5,2,5,4,4,2,4,0,3,3,0,3,5,3,2,2,3,4,3,4,2,4,4,6,6,6,6,0,1,0,6,6,4,2,6,4
3,2010,13,1,1,0,8,2,3,2,11,2,11,3,0,3,2,3,3,3,0,2,2,11,5,5,3,4,5,8,0,6,14,0,7,11,3,12,14,4,0,2,9,3,9,2,12,11,11,11,11,9,11,11,12,2,0,0,0,0,1,1,0,1,1,1,1,1,1,11,12,7,7,0,0,2,0,0,11,8,0,3,5,10
3,2011,4,0,0,0,4,2,3,3,1,1,2,2,3,2,2,3,3,3,0,3,2,1,3,3,3,3,4,1,0,2,4,0,0,2,2,4,4,0,0,1,3,0,0,2,4,4,4,4,4,2,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0,0,0,0,0,3,3,3,0,2,2
3,2012,6,0,2,0,2,1,1,1,6,0,5,1,1,2,1,2,1,2,0,1,1,5,1,1,1,1,0,5,0,2,6,0,5,6,0,5,6,0,0,0,2,1,1,1,2,4,5,2,5,4,5,4,2,1,3,3,0,2,2,2,0,2,2,3,2,2,0,6,4,5,4,2,3,0,0,0,3,2,0,0,2,2
3,2013,10,1,0,0,2,5,6,6,4,7,4,5,6,5,4,6,5,6,0,6,6,4,5,7,7,6,6,4,0,2,10,5,0,9,1,8,10,0,1,1,5,4,0,5,5,10,10,10,10,10,10,10,10,3,5,6,0,6,6,6,3,5,5,6,5,6,0,10,2,5,6,1,2,1,0,0,5,2,7,0,5,9
3,2014,16,5,7,0,6,5,5,4,11,4,11,5,5,5,5,4,5,4,0,5,5,12,5,4,4,5,6,11,0,6,16,0,3,16,0,12,14,0,1,2,10,3,4,8,10,12,12,12,13,13,13,10,9,1,4,5,0,3,3,4,1,5,4,4,3,3,2,16,8,7,6,6,6,0,0,0,9,8,7,1,4,13
3,2015,20,3,2,0,16,6,7,5,13,6,13,6,5,7,7,5,6,6,0,7,7,14,6,5,6,6,5,11,0,10,20,4,5,17,3,17,20,3,0,5,6,6,8,6,16,18,16,13,15,16,16,14,10,1,2,3,0,3,3,3,1,2,1,2,2,2,7,20,14,11,9,7,9,0,0,0,17,9,9,1,9,13
3,2016,8,5,1,0,4,1,2,1,5,1,6,2,2,2,2,2,2,3,0,2,2,6,3,1,3,2,1,5,0,0,8,0,0,8,0,8,8,0,4,0,8,1,1,5,6,6,5,4,6,6,8,6,5,1,1,2,0,1,2,2,0,2,3,3,1,2,4,8,6,2,2,1,0,0,0,0,5,3,5,0,1,7
4,2010,10,1,2,0,2,2,0,2,8,2,8,2,2,2,2,0,2,2,0,2,2,8,2,2,0,2,2,8,0,10,10,0,0,8,2,6,8,0,0,0,0,1,3,1,4,3,4,2,3,3,3,3,2,1,2,2,0,1,3,3,0,3,3,3,1,2,1,7,10,4,4,2,2,0,0,0,3,4,2,3,6,5
4,2011,4,0,0,0,2,3,4,3,0,3,1,3,3,1,3,1,3,3,0,3,3,0,3,3,3,3,3,1,0,0,4,0,2,4,1,0,4,1,0,0,0,4,0,0,4,2,2,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,4,4,4,0,0,0,3,2,2,0,4,0
4,2012,18,2,1,0,9,10,8,8,10,7,10,8,7,10,9,8,9,10,0,10,7,11,9,10,8,8,8,10,2,17,18,2,5,14,7,7,15,3,0,3,6,7,5,9,16,14,15,12,14,14,14,15,13,0,0,3,0,3,1,3,3,3,2,2,3,1,7,17,16,7,8,4,3,1,2,6,15,13,11,1,9,10
4,2013,8,1,0,0,5,2,1,2,8,1,8,3,3,0,1,2,2,2,0,1,2,6,2,1,1,2,2,6,0,4,8,0,4,6,2,2,7,0,0,0,0,0,3,1,6,6,6,5,7,7,7,5,5,2,2,1,0,1,1,2,2,0,0,1,2,2,2,8,8,6,6,3,3,1,0,0,2,2,4,0,4,4
4,2014,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,0,1,0,1,0,1,1,1,1,0,0,1,0,2,2,0,0,2,0,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,2,0,1,2,1,1,0,0,0,2,2,1,0,1,1
5,2010,14,0,1,0,3,4,4,2,10,2,12,2,3,1,3,2,2,4,0,4,2,12,4,4,4,3,1,13,1,6,14,0,0,14,2,9,14,1,1,5,14,4,8,2,4,4,4,2,4,3,3,3,2,2,3,3,0,3,2,3,1,2,2,2,1,2,3,11,7,12,14,10,10,0,0,0,10,11,13,1,7,9
5,2012,20,6,2,0,12,1,0,1,20,1,20,2,1,1,1,0,0,1,0,0,0,19,2,2,2,2,2,18,2,2,16,0,2,18,11,16,20,2,2,3,18,9,3,6,16,12,15,12,15,12,15,14,12,0,2,0,0,2,2,2,2,0,2,0,2,2,1,11,14,17,18,16,13,0,0,0,4,4,11,0,2,18
5,2014,12,0,3,0,9,2,2,2,9,3,10,3,3,3,2,2,2,2,0,3,3,9,5,4,3,4,5,7,0,12,12,0,5,12,4,9,10,0,0,0,12,0,2,2,9,10,10,6,9,10,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,6,8,4,4,0,0,0,3,3,7,0,3,7
5,2015,12,3,1,0,4,3,2,3,10,3,8,3,2,2,0,3,2,4,0,3,1,9,3,4,4,3,3,9,1,4,12,0,3,12,3,6,11,0,1,3,10,5,3,7,9,7,5,4,8,8,7,6,6,0,1,2,0,0,0,0,0,0,0,1,1,1,1,11,8,10,10,6,6,0,0,0,4,5,11,0,0,12
5,2016,12,1,1,0,7,8,9,9,3,9,4,5,10,9,10,11,8,9,0,8,7,3,8,9,7,6,9,3,0,2,12,0,5,12,2,7,11,2,0,0,8,5,1,7,3,4,3,1,5,5,5,6,2,1,1,1,0,1,1,1,0,1,1,1,1,0,4,11,8,5,5,3,3,0,0,0,3,3,5,0,1,11
6,2010,20,11,4,0,12,7,7,8,13,7,11,8,10,7,8,10,10,7,0,7,9,10,9,10,7,9,8,10,8,5,20,0,8,20,6,16,20,4,8,11,11,11,0,7,10,10,12,7,11,10,10,10,9,7,12,14,0,9,13,13,11,12,12,11,10,9,2,19,8,11,9,10,10,0,0,8,12,13,7,11,8,14
6,2013,4,1,2,0,2,2,2,2,2,2,2,1,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,4,2,0,4,1,3,4,2,1,4,3,4,0,3,1,1,1,1,2,1,1,1,1,0,1,1,0,2,2,0,1,0,0,0,1,1,1,4,4,0,0,3,3,0,0,4,2,3,1,1,1,3
6,2014,16,7,0,0,12,4,3,3,10,3,12,4,4,3,2,4,4,3,0,2,1,13,3,2,2,2,2,11,4,4,16,0,3,16,4,14,14,5,6,5,11,8,0,2,10,10,10,7,12,10,11,9,10,7,10,8,0,6,10,11,8,9,9,11,12,11,1,15,6,8,6,7,4,0,0,1,11,11,3,8,1,16
6,2015,4,2,4,0,0,3,3,3,1,2,1,3,3,2,2,3,3,4,0,3,2,1,3,1,3,2,3,1,1,0,4,0,0,4,2,4,4,2,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,3,4,4,0,2,4,4,4,4,4,4,4,4,0,4,2,3,3,3,3,0,0,2,4,4,0,0,0,4
6,2016,2,0,2,0,2,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,2,2,0,0,2,0,2,2,1,2,1,1,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2
7,2010,11,4,4,0,7,1,0,1,16,1,16,0,0,3,0,0,1,2,0,3,1,15,3,2,0,0,0,15,2,2,12,1,0,15,0,14,12,0,0,8,0,6,2,0,2,2,2,2,2,2,2,2,2,0,3,2,0,0,2,3,1,3,3,3,1,2,2,11,16,3,2,2,2,0,0,2,8,9,0,4,13,4
7,2012,12,0,2,0,13,2,4,4,11,2,13,4,3,1,3,5,3,0,0,0,0,16,0,0,0,0,0,16,7,0,15,0,0,16,0,16,1,5,0,13,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,1,2,2,1,12,14,2
7,2013,13,0,8,0,10,2,2,2,18,2,16,2,2,2,2,2,2,0,0,0,0,20,0,0,0,0,0,20,5,0,18,0,0,20,0,18,1,1,0,16,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,2,12,17,2
7,2014,4,1,2,0,4,1,1,1,17,1,17,1,0,1,1,1,0,0,0,0,0,17,0,0,0,1,0,17,4,0,12,0,0,18,0,12,12,0,0,12,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,11,10,0,5,14,2
7,2016,8,1,6,0,12,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,1,0,12,0,0,18,0,12,7,0,0,6,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,3,5,1,5,13,5
8,2011,8,5,8,0,8,3,3,2,5,3,5,3,3,2,3,3,3,0,0,0,0,5,0,0,0,0,0,8,0,3,8,0,0,8,1,8,8,0,0,2,0,0,3,0,5,4,4,4,3,5,4,4,6,0,2,2,0,2,1,2,2,2,2,2,2,2,0,4,0,2,4,2,2,4,0,0,8,8,2,7,1,7
8,2014,2,0,0,0,2,2,2,2,0,2,0,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,2,0
8,2015,10,4,4,0,10,1,0,0,9,1,10,0,1,1,1,0,0,0,0,0,1,10,0,0,0,0,0,10,0,8,10,0,0,10,4,10,10,0,0,0,4,0,5,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,10,10,1,6,8,2
8,2016,16,7,9,0,18,4,5,5,13,4,15,4,5,4,4,3,3,0,0,1,1,13,0,1,1,1,1,18,0,6,17,0,0,18,1,16,17,0,0,1,4,2,14,0,11,11,10,9,11,11,11,12,11,1,1,0,0,2,2,1,1,1,1,2,2,0,0,1,6,0,0,0,0,12,0,0,18,18,8,14,7,8
9,2010,18,11,3,0,18,3,3,3,15,2,13,4,4,3,2,3,3,3,0,2,3,12,3,2,2,3,2,14,2,8,18,0,0,17,2,18,16,0,0,7,13,0,7,4,7,6,6,6,7,5,7,5,6,0,1,2,0,0,1,0,0,1,1,1,2,2,0,12,2,1,1,0,0,5,0,0,13,14,11,1,10,8
9,2012,8,4,4,0,8,3,3,3,4,2,5,2,3,2,2,2,2,3,0,2,1,3,2,3,2,3,3,6,1,2,7,0,0,8,3,8,8,0,0,3,6,0,2,2,3,3,2,2,3,2,3,3,2,0,2,2,0,1,2,2,0,0,1,2,2,1,1,3,4,0,0,0,0,0,0,0,6,7,5,2,3,6
9,2013,6,2,0,0,6,4,1,0,5,1,4,2,1,2,1,0,0,2,0,3,1,5,3,2,1,0,0,3,4,0,6,2,0,6,1,6,6,0,0,5,0,0,2,0,3,5,5,4,4,5,5,4,4,0,1,2,0,2,2,2,2,1,1,1,2,1,3,3,6,2,1,2,3,0,0,1,6,6,2,0,1,6
9,2014,10,8,4,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,8,10,0,0,10,2,10,10,0,0,0,3,0,4,3,1,2,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,9,7,2,4,5
9,2015,13,11,6,0,14,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,4,12,14,0,0,14,3,14,14,0,0,4,5,0,2,6,6,6,7,7,6,6,6,7,5,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,4,2,2,0,0,5,0,0,10,9,9,0,3,13
9,2016,20,11,8,0,20,2,3,3,17,0,18,3,3,3,3,2,3,2,0,3,3,9,3,3,2,2,3,17,3,14,20,0,0,20,5,20,20,0,0,3,10,0,14,6,5,6,5,6,6,6,7,5,5,0,5,6,0,6,6,5,3,6,6,5,6,5,0,7,0,1,1,0,0,10,0,0,17,17,12,0,3,17
