Site,Year,CE10_chr1_2508598,CE10_chr1_3437991,CE10_chr1_3438331,CE10_chr1_37374277,CE10_chr1_38824853,CE10_chr2_3414129,CE10_chr2_9622868,CE10_chr2_15169455,CE10_chr2_19138768,CE10_chr2_42519561,CE10_chr2_44534506,CE10_chr2_51313516,CE10_chr2_51809393,CE10_chr3_4175533,CE10_chr3_4176104,CE10_chr3_45067697,CE10_chr4_9346880,CE10_chr4_12867448,CE10_chr4_14590288,CE10_chr4_47524457,CE10_chr4_47525002,CE10_chr4_47525958,CE10_chr4_47526264,CE10_chr4_47526514,CE10_chr4_47526563,CE10_chr4_47526634,CE10_chr4_47526697,CE10_chr4_47527780,CE10_chr4_47528316,CE10_chr4_47528382,CE10_chr4_47528921,CE10_chr4_47529299,CE10_chr4_47529949,CE10_chr5_83495,CE10_chr5_43330852,CE10_chr5_43332201,CE10_chr5_43332256,CE10_chr5_43332291,CE10_chr5_43333658,CE10_chr5_43334139,CE10_chr5_43334658,CE10_chr5_43335525,CE10_chr5_43337163,CE10_chr5_43337538,CE10_chr6_7642955,CE10_chr6_7644775,CE10_chr6_7647449,CE10_chr6_7647994,CE10_chr6_7647997,CE10_chr6_52682981,CE10_chr6_52686214,CE10_chr6_52686250,CE10_chr6_52686281,CE10_chr6_52686491,CE10_chr6_52686524,CE10_chr6_52686709,CE10_chr6_52687031,CE10_chr6_52687062,CE10_chr6_52687204,CE10_chr6_52687892,CE10_chr6_52688942,CE10_chr6_52689350,CE10_chr6_52689717,CE10_chr6_55264286,CE10_chr6_56880282,CE10_chr6_56881003,CE10_chr6_56881246,CE10_chr6_56882143,CE10_chr6_56883413,CE10_chr6_56883446,CE10_chr7_4616741,CE10_chr7_37239373,CE10_chr8_18229212,CE10_chr8_18231055,CE10_chr8_18938069,CE10_chr8_18942814,CE10_chr8_18943342
12,2016,4,0,0,0,5,3,6,0,0,0,8,8,2,3,3,0,0,8,3,0,7,2,1,6,6,2,7,3,5,3,4,3,5,0,7,7,6,6,7,7,6,6,7,6,4,3,1,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,8,1,3,3,3,1,1,0,1,4,4,0,4,4
1,2010,5,0,0,4,14,2,15,0,0,0,16,18,4,10,11,0,1,5,13,4,10,4,6,6,5,5,5,2,3,0,3,3,6,4,12,11,11,11,10,10,13,11,11,13,5,5,3,5,4,1,2,3,3,4,3,2,2,2,2,2,3,2,3,8,2,1,2,2,2,2,7,0,3,2,1,2,2
1,2011,3,0,0,0,12,5,11,0,0,0,14,8,4,12,10,0,0,4,10,3,7,5,9,4,3,8,7,0,1,0,0,0,1,2,6,6,4,5,7,5,4,5,6,7,4,6,3,6,1,5,5,4,5,4,4,5,3,4,4,4,5,2,4,9,2,2,2,2,2,2,1,0,5,4,3,5,4
1,2012,5,0,0,0,12,1,12,0,0,0,12,8,0,9,8,0,0,2,8,0,7,5,4,3,3,3,3,3,2,0,2,2,4,2,9,10,10,10,9,10,11,10,10,8,3,5,3,4,3,2,4,5,5,4,5,5,5,4,2,3,4,3,4,6,0,0,0,0,0,0,0,0,3,3,2,3,3
1,2013,4,0,0,1,11,1,12,0,0,0,12,8,1,10,11,0,0,6,10,0,9,3,3,3,5,3,5,1,1,1,1,1,4,8,5,8,8,8,8,7,7,8,8,8,4,5,3,5,2,1,4,4,3,4,3,3,4,4,4,5,3,2,3,7,1,1,1,1,1,1,0,0,2,2,2,2,2
1,2014,5,0,0,0,15,4,16,0,0,1,20,16,2,18,19,0,0,2,15,4,9,7,13,9,10,11,17,4,3,1,4,4,5,9,12,11,10,11,12,12,8,13,6,12,3,4,4,3,2,3,7,8,8,7,7,7,9,7,7,7,7,6,8,16,1,1,1,1,2,2,2,0,8,11,12,8,8
2,2010,3,0,0,0,3,4,9,0,0,2,10,9,0,2,2,0,0,8,7,2,8,4,4,2,3,3,4,1,2,0,0,1,1,4,4,5,5,4,2,5,2,3,3,5,2,1,0,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,1,1,1,1,1,1,0,2,7,6,4,4,3
2,2011,2,0,0,2,8,3,9,0,0,0,12,12,1,1,1,0,0,12,5,0,7,9,7,6,4,5,6,0,3,2,2,3,3,2,6,5,5,6,5,7,6,6,7,4,0,0,0,0,0,5,5,5,4,5,5,5,5,3,3,5,5,5,5,11,3,5,6,5,6,6,0,0,5,4,1,3,1
2,2014,5,0,0,1,15,2,16,0,1,0,18,18,5,3,3,0,0,18,5,5,14,1,6,6,5,5,10,5,5,3,4,5,9,0,2,5,5,5,5,3,5,4,3,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,4,4,3,4,5,0,4,8,7,4,6,6
2,2015,6,0,0,0,9,4,9,0,0,0,14,14,0,0,0,0,0,14,1,3,10,3,3,5,3,2,6,2,4,0,1,3,3,2,3,5,4,3,4,2,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,2,4,3,4,0,3,4,4,2,2,4
2,2016,4,0,0,2,2,2,1,0,0,0,6,5,0,1,0,0,0,6,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,2,1,1,1,0,1,0,1,2,2,0,1,0,0,0,6,0,2,0,0,0,2,0,2,3,5,3,4,3
3,2010,9,1,1,5,12,5,11,0,3,2,12,12,5,2,2,0,2,4,11,2,7,3,4,5,5,4,4,4,7,3,6,5,8,9,3,6,5,5,3,4,3,4,4,4,10,9,3,11,3,2,3,2,0,3,1,3,3,3,3,3,3,0,1,2,4,4,4,3,5,5,0,6,1,1,1,0,1
3,2011,2,0,0,4,4,2,4,0,1,0,2,0,4,0,0,0,0,0,2,0,1,2,2,4,4,2,4,4,4,2,4,4,4,0,2,2,2,2,2,0,2,2,2,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,1,1,1,2,1
3,2012,0,0,0,6,6,2,6,0,5,0,4,3,6,0,0,0,0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,4,4,4,3,4,3,6,6,2,6,2,4,2,2,0,1,0,1,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1
3,2013,0,0,0,9,10,5,6,0,4,0,6,9,8,0,0,0,2,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,4,7,7,6,5,5,8,8,8,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,3,2,2,2,0,0,2,2,1,2,2
3,2014,3,2,3,16,16,13,10,0,10,0,11,9,16,0,0,0,2,0,14,0,3,1,1,2,1,0,0,0,1,0,0,2,0,11,9,8,9,7,8,9,9,8,8,10,16,16,1,16,11,6,4,5,1,4,0,3,3,3,4,3,5,1,1,7,3,1,3,3,5,5,0,0,4,4,4,4,4
3,2015,4,0,0,16,20,14,15,0,7,1,17,7,20,3,3,0,1,5,13,0,9,3,1,4,4,3,5,5,2,0,4,3,5,12,9,10,9,8,9,7,9,10,9,16,17,17,2,18,3,4,2,2,0,4,1,5,2,2,2,5,3,2,1,7,6,7,7,6,6,7,0,0,4,5,4,4,4
3,2016,1,1,1,8,8,6,5,0,4,0,3,8,6,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,2,2,0,2,1,2,2,6,5,2,5,5,2,2,2,1,3,2,2,0,0,0,2,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1
4,2010,4,3,3,10,10,5,10,2,6,2,7,9,4,0,0,0,2,5,10,2,3,2,2,3,3,3,3,4,3,2,3,3,3,10,5,5,4,3,4,2,6,2,4,6,6,10,1,9,5,6,7,7,4,6,0,7,7,7,7,7,7,2,2,7,9,7,7,8,8,8,2,2,4,3,3,2,1
4,2011,4,0,0,4,4,2,3,0,1,0,2,4,4,0,0,0,0,4,4,0,1,1,0,1,0,1,1,1,3,2,2,2,2,4,4,4,4,4,4,4,2,4,2,2,4,4,1,4,2,0,2,1,0,2,0,2,1,1,1,1,1,0,0,4,1,2,2,2,0,0,3,0,1,2,3,2,1
4,2012,6,0,0,13,18,10,13,0,5,2,15,8,5,3,4,0,12,7,15,1,2,2,2,4,3,3,3,4,3,0,2,1,3,13,11,11,12,9,11,5,10,6,11,10,16,16,6,16,14,2,4,4,0,3,0,4,4,4,3,2,3,1,2,6,10,13,11,11,9,11,0,4,2,3,1,2,3
4,2013,0,3,3,8,8,4,4,0,6,0,7,2,2,0,0,0,4,4,8,1,1,2,1,1,1,0,1,1,1,0,1,1,1,8,4,5,5,4,5,5,5,6,5,4,5,6,1,4,4,2,2,1,2,2,1,1,1,1,1,2,0,1,1,6,2,1,2,2,2,3,2,1,1,1,1,1,1
4,2014,0,0,0,2,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,2,1,1,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
5,2010,8,0,0,6,14,8,12,0,2,2,12,10,10,2,1,0,2,8,7,0,2,8,9,6,6,3,6,5,4,4,6,6,8,7,6,9,9,7,6,2,5,5,8,13,7,9,0,6,2,10,10,10,11,10,4,10,11,11,9,11,11,10,6,4,3,5,6,6,6,5,0,0,4,4,1,2,4
5,2012,4,2,2,15,12,19,16,2,6,0,20,18,6,0,0,0,0,20,13,1,2,1,2,7,6,0,6,7,6,3,6,7,6,13,9,10,10,10,9,9,11,10,12,17,15,14,2,14,9,4,6,6,3,5,0,5,6,5,4,4,4,0,0,4,5,5,4,4,4,4,0,2,9,8,8,8,10
5,2014,2,0,0,4,6,10,8,0,0,0,9,9,4,0,0,0,2,10,11,0,3,3,2,3,2,2,2,4,3,3,3,3,3,4,9,8,8,8,7,5,8,5,8,12,10,11,2,11,3,3,2,2,1,2,0,3,2,2,2,2,1,0,0,2,6,7,3,8,5,5,0,0,4,4,3,4,3
5,2015,2,0,0,9,10,8,10,2,2,0,11,8,6,0,0,0,0,12,8,1,1,1,4,8,7,1,8,9,7,5,5,8,6,6,6,5,7,7,7,6,7,7,7,7,9,11,0,8,4,3,5,5,3,5,0,4,4,5,4,6,4,0,0,2,3,2,2,3,3,3,0,0,4,5,6,6,0
5,2016,0,0,0,4,12,1,7,0,1,2,10,11,4,1,0,0,3,10,5,2,2,5,4,7,6,0,7,8,5,2,6,9,7,6,3,3,2,3,2,2,3,2,3,6,9,9,0,10,3,9,8,7,7,9,1,5,7,7,6,8,8,4,3,2,0,0,1,0,0,0,0,0,5,7,5,7,6
6,2010,9,0,0,7,20,7,11,0,8,8,20,19,2,0,0,0,1,13,15,8,8,6,3,7,6,5,5,7,7,2,6,7,6,10,8,10,10,10,11,8,8,5,9,15,17,17,16,17,13,10,10,11,2,8,1,9,10,10,10,9,10,1,1,14,7,9,3,9,5,9,0,1,5,5,5,5,4
6,2013,3,1,1,2,4,2,2,0,0,2,4,2,0,0,0,0,1,2,4,3,2,2,1,0,0,1,0,3,1,0,2,2,2,4,2,2,2,1,2,2,2,2,2,2,3,4,3,3,3,3,3,1,3,1,1,2,3,3,3,3,3,3,0,2,0,1,0,1,0,1,1,2,0,0,0,0,0
6,2014,1,0,0,10,12,7,10,0,5,3,16,12,2,2,2,1,1,9,12,5,4,2,1,4,4,3,3,1,5,0,3,3,2,12,12,11,11,10,13,4,14,6,12,16,14,14,9,13,9,4,4,6,3,6,1,4,4,5,5,6,5,0,2,4,9,12,9,12,11,11,1,1,8,7,9,9,7
6,2015,0,0,0,3,4,2,0,0,1,4,4,3,0,1,1,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,3,4,4,1,2,1,1,1,4,4,4,4,4,0,4,4,4,4,4,4,0,0,4,2,4,2,3,2,4,1,0,3,3,2,2,2
6,2016,0,0,0,2,2,0,2,0,1,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2
7,2010,14,11,11,14,14,11,16,4,11,9,16,16,10,10,10,7,14,14,16,14,16,15,14,15,15,15,15,15,15,14,13,14,16,9,16,16,16,14,14,16,16,16,16,16,16,16,13,16,12,14,14,14,8,14,6,12,14,12,12,14,14,8,6,2,8,7,6,8,8,9,9,12,4,5,5,4,5
7,2012,16,14,14,16,9,14,11,2,6,1,16,16,14,9,8,8,16,16,16,11,10,10,9,10,9,10,10,9,9,6,7,10,12,12,15,15,15,15,15,15,15,15,15,16,16,14,14,14,10,16,16,16,10,16,12,16,16,16,10,16,16,10,13,14,5,7,5,7,4,7,8,12,12,12,12,12,11
7,2013,18,14,14,20,20,18,14,6,17,5,20,18,16,15,14,8,20,20,20,19,13,10,7,12,13,9,10,11,8,6,10,10,10,18,20,18,20,20,20,20,20,20,18,20,18,18,18,19,19,20,20,20,18,18,16,20,20,20,14,18,20,16,18,10,6,2,7,4,5,4,11,12,14,14,14,13,15
7,2014,16,15,17,18,13,15,12,0,12,3,18,18,10,8,10,6,18,18,18,18,16,12,15,16,16,15,16,16,15,14,13,15,15,13,18,18,18,18,18,18,18,18,18,17,16,17,13,16,9,16,18,18,10,18,10,18,18,18,18,18,18,10,10,8,11,9,10,10,11,11,5,16,1,0,3,2,3
7,2016,16,13,16,18,16,18,17,1,13,5,18,18,13,8,8,9,16,18,18,18,18,16,18,16,18,18,16,16,18,16,18,18,16,16,16,18,18,18,18,16,18,16,18,18,13,13,11,15,9,18,18,18,6,18,6,16,18,18,16,18,18,6,4,2,11,12,12,11,13,13,2,16,3,2,3,3,3
8,2011,1,0,0,1,8,5,4,2,0,0,7,0,0,0,0,0,0,6,4,0,0,4,4,4,3,3,3,6,4,2,4,6,3,1,0,0,0,0,0,0,0,0,0,2,3,3,0,4,0,3,4,5,5,4,4,3,3,4,4,4,4,2,4,3,0,0,0,0,0,0,0,7,2,3,2,3,3
8,2014,2,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8,2015,8,0,1,8,6,3,5,2,0,2,10,4,0,0,0,0,0,6,7,0,0,3,1,5,4,1,2,3,3,0,3,3,4,0,3,3,3,3,3,2,3,3,3,6,3,3,1,6,2,3,3,3,1,3,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,4,3,7,6,6,7
8,2016,7,5,4,4,12,4,5,3,1,2,16,13,0,0,1,1,1,16,12,2,2,11,11,11,8,6,10,12,11,10,11,11,12,2,6,8,8,7,6,7,7,7,4,14,11,10,8,11,5,7,7,6,4,8,3,7,7,7,6,7,6,3,4,3,1,0,2,1,1,1,1,12,8,9,7,8,6
9,2010,7,2,1,6,13,9,5,3,4,5,12,15,0,1,2,0,0,9,7,2,1,3,4,3,2,0,3,1,3,2,2,2,2,7,8,8,8,7,8,9,9,9,5,14,17,14,14,17,13,9,12,12,10,10,12,11,9,11,9,12,12,10,10,17,3,11,6,10,3,10,2,9,12,11,10,13,13
9,2012,5,2,0,0,5,4,2,0,0,1,4,7,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,4,1,5,2,8,6,4,3,1,1,5,5,5,5,4,4,5,4,5,3,5,5,2,5,7,2,6,4,6,2,6,0,5,8,8,8,8,6
9,2013,2,3,3,4,4,2,5,0,0,0,6,4,0,0,0,0,0,6,3,0,3,0,0,1,2,0,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,6,6,1,6,2,3,1,1,1,1,2,2,1,1,2,1,2,2,2,6,0,4,0,1,0,4,0,2,6,6,6,6,6
9,2014,8,1,3,3,1,5,4,0,0,1,3,7,0,0,0,0,0,6,9,0,0,5,4,5,5,0,5,5,4,4,6,5,6,7,7,7,7,7,7,6,7,5,7,6,6,7,7,7,7,9,8,8,9,7,6,8,8,8,8,9,9,9,9,6,2,7,1,8,1,6,0,5,7,6,5,5,7
9,2015,7,5,5,1,6,3,3,1,0,3,9,11,0,0,0,0,0,3,6,0,0,2,1,2,1,0,2,2,3,0,2,2,1,8,5,6,6,6,7,5,7,5,6,9,8,7,8,8,8,8,8,8,8,7,7,6,8,8,5,8,5,7,8,7,2,8,4,10,3,10,4,10,14,12,14,14,14
9,2016,9,4,4,4,11,8,3,5,0,4,15,15,0,0,0,0,0,8,12,0,0,1,1,1,1,0,0,0,0,0,1,1,1,5,7,7,7,7,6,8,8,7,7,12,17,16,17,16,10,15,14,14,15,15,14,14,14,13,13,14,14,15,11,20,0,11,2,10,0,9,2,10,14,16,14,16,17
