Site,Year,CE10_chr1_2597178,CE10_chr1_32671779,CE10_chr1_36931762,CE10_chr1_36935204,CE10_chr1_36936794,CE10_chr1_36941008,CE10_chr1_37374277,CE10_chr1_38800054,CE10_chr1_38801440,CE10_chr1_38804192,CE10_chr1_38806913,CE10_chr1_38809930,CE10_chr1_38814297,CE10_chr1_38819336,CE10_chr1_38824853,CE10_chr1_38825189,CE10_chr2_18599218,CE10_chr2_18602600,CE10_chr2_18992699,CE10_chr2_40551025,CE10_chr2_41154260,CE10_chr2_44839490,CE10_chr2_51899790,CE10_chr2_53118124,CE10_chr3_10785844,CE10_chr3_17147449,CE10_chr3_18134809,CE10_chr3_21030630,CE10_chr3_23041587,CE10_chr3_24257330,CE10_chr3_34946312,CE10_chr3_34946478,CE10_chr3_43609876,CE10_chr3_49430352,CE10_chr4_4248913,CE10_chr4_7333178,CE10_chr4_24470715,CE10_chr4_29957256,CE10_chr4_37286264,CE10_chr5_11180046,CE10_chr5_45891576,CE10_chr5_47349886,CE10_chr6_1663400,CE10_chr6_2638799,CE10_chr6_2959667,CE10_chr6_5667682,CE10_chr6_53400520,CE10_chr6_54471378,CE10_chr6_54471431,CE10_chr6_54473473,CE10_chr6_54473683,CE10_chr6_54473729,CE10_chr6_54476287,CE10_chr6_54477127,CE10_chr6_56542670,CE10_chr6_58952579,CE10_chr7_982905,CE10_chr7_2535310,CE10_chr7_2535959,CE10_chr7_2536471,CE10_chr7_9883449,CE10_chr7_15769730,CE10_chr7_30609338,CE10_chr7_30652811,CE10_chr7_39808984,CE10_chr7_41247518,CE10_chr7_41247693,CE10_chr7_41247812,CE10_chr7_41247828,CE10_chr7_41248031,CE10_chr7_41248301,CE10_chr7_41248417,CE10_chr7_41251230,CE10_chr7_41251302,CE10_chr7_41251950,CE10_chr7_41251977,CE10_chr7_41252172,CE10_chr7_41253054,CE10_chr7_41253107,CE10_chr7_41253384,CE10_chr7_41253864,CE10_chr7_41253902,CE10_chr7_41253948,CE10_chr7_41254051,CE10_chr7_41265016,CE10_chr7_41265797,CE10_chr7_41265985,CE10_chr7_41266351,CE10_chr7_41266369,CE10_chr7_41266405,CE10_chr7_41267041,CE10_chr7_41267688,CE10_chr7_41267709,CE10_chr7_41267789,CE10_chr7_41271416,CE10_chr8_355269,CE10_chr8_1059020,CE10_chr8_2514047,CE10_chr8_10079268,CE10_chr8_40341188,CE10_chr8_47952724
12,2010,12,0,0,0,0,0,0,2,0,0,0,0,1,0,15,12,5,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,2,1,2,1,10,8,10,9,9,0,9,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,20,0
12,2011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,10,10,10,9,10,0,9,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,0
12,2013,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,10,0,11,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,0
12,2015,3,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,10,0,8,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,0,0,7,0,10,0
12,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,6,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,0
1,2010,0,3,0,1,1,2,4,16,11,0,3,15,0,0,14,0,5,4,4,0,4,1,4,6,0,0,1,1,0,0,4,0,4,6,4,0,4,10,4,6,4,0,2,9,1,3,2,9,7,2,3,3,2,4,2,1,3,3,1,3,10,3,3,3,3,3,3,5,6,4,3,6,6,7,4,4,4,4,5,4,4,5,5,4,3,3,5,3,3,2,5,4,4,4,5,4,0,2,2,17,0
1,2011,4,0,0,0,0,0,0,12,12,0,0,12,0,0,12,0,1,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,0,2,0,0,0,0,0,1,2,2,3,2,3,0,3,0,0,1,0,0,0,1,0,0,0,1,2,1,2,2,1,2,3,2,2,3,3,3,2,2,2,3,3,3,3,3,2,4,3,3,1,2,1,1,3,2,2,0,0,5,13,0
1,2012,4,0,0,0,0,0,0,12,12,0,0,12,0,0,12,0,1,1,0,0,10,0,2,8,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,2,0,2,3,0,0,1,4,2,0,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0,3,4,3,2,4,4,2,7,6,6,6,6,6,6,6,4,6,6,6,6,5,6,6,6,6,5,6,6,6,6,1,0,0,3,12,0
1,2013,0,1,2,0,0,0,1,12,12,2,2,11,2,2,11,0,1,1,1,0,4,0,1,6,0,0,0,0,0,0,2,0,0,2,3,0,2,6,2,2,0,0,0,6,2,2,3,2,4,4,4,3,1,4,0,2,3,0,0,0,3,1,2,2,0,1,1,1,1,1,1,1,4,5,3,3,3,5,4,3,3,3,3,3,1,4,4,4,4,4,2,4,4,3,5,6,2,2,4,12,0
1,2014,7,0,0,1,0,0,0,14,16,0,0,15,0,0,15,0,4,3,0,0,9,2,5,2,0,0,0,0,0,0,0,0,0,3,7,0,0,4,2,1,4,0,0,3,0,0,7,2,2,1,1,1,0,3,2,0,0,0,0,0,5,0,0,0,0,4,3,4,3,3,3,2,6,6,6,6,6,10,9,8,5,5,6,6,7,5,8,8,7,7,7,7,7,7,6,3,0,2,3,17,0
2,2010,0,1,2,0,0,0,0,3,3,0,2,4,0,2,3,1,2,1,2,0,4,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0,2,2,1,2,1,0,1,0,0,2,0,2,3,2,1,1,0,2,0,0,2,1,0,1,4,2,1,0,3,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,2,2,0,2,1,3,0,8,0
2,2011,4,3,0,4,5,4,2,6,4,1,4,5,3,4,8,4,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,10,3,2,3,3,2,4,3,3,4,2,2,3,9,3,3,2,2,3,2,2,3,2,3,3,3,2,3,3,2,1,2,2,2,1,3,0,1,9,12,0
2,2014,2,4,0,3,3,2,1,8,8,2,0,10,2,1,15,6,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,5,6,6,0,8,0,0,4,0,0,0,12,0,0,0,2,1,0,1,1,1,1,0,1,6,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,7,18,0
2,2015,5,1,0,0,0,0,0,5,2,0,0,3,0,0,9,5,1,0,2,0,0,0,8,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,2,0,2,0,0,5,0,0,0,11,0,0,0,4,2,2,1,1,2,3,1,3,1,1,1,2,2,2,2,1,1,1,2,1,1,0,2,2,2,2,2,2,2,0,3,0,6,4,14,0
2,2016,1,3,0,1,1,3,2,1,2,0,0,2,0,0,2,0,0,0,0,0,1,2,1,2,2,1,1,0,0,0,0,1,1,3,0,0,2,0,2,2,1,0,2,3,2,0,0,2,2,3,3,3,2,2,0,3,3,0,0,0,6,0,0,0,1,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,3,3,6,0
3,2010,5,13,0,14,14,13,5,12,1,1,12,12,1,1,12,0,2,3,6,2,2,0,9,14,1,0,0,0,1,1,13,1,10,12,10,2,9,7,12,10,2,2,3,2,3,4,6,7,8,8,7,7,7,7,2,2,3,3,3,5,9,11,8,7,11,7,6,7,7,5,7,6,8,8,9,9,6,5,5,6,5,6,8,6,7,7,10,8,8,8,6,9,8,8,4,12,5,3,0,12,2
3,2011,0,2,0,4,4,4,4,4,0,0,4,4,0,0,4,0,4,3,3,2,0,0,3,4,0,0,4,4,0,0,4,0,2,4,0,0,4,4,4,4,0,0,0,4,3,2,2,0,0,0,0,0,0,0,2,0,1,4,4,4,3,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0
3,2012,0,6,0,2,1,1,6,6,1,2,6,6,1,1,6,2,1,2,1,0,0,1,2,6,0,0,3,2,0,0,6,0,4,6,1,0,6,6,6,2,0,0,4,4,3,0,3,1,0,0,1,1,1,0,0,0,1,2,1,2,0,4,2,1,5,2,1,2,2,2,1,1,2,2,0,1,2,1,1,2,2,2,2,1,2,1,2,0,1,1,2,2,2,4,2,2,1,1,0,3,0
3,2013,2,6,0,3,4,4,9,10,0,0,10,10,0,0,10,0,5,6,5,3,0,1,7,10,0,0,0,0,2,2,10,0,8,9,4,1,10,10,10,3,0,2,1,2,3,5,10,3,3,3,2,3,2,3,0,0,3,6,6,6,4,9,6,5,10,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,3
3,2014,1,15,0,3,2,3,16,16,5,6,16,16,7,6,16,3,5,5,5,7,0,2,10,16,0,0,3,3,2,1,16,0,12,15,12,0,14,16,16,5,0,0,6,7,7,6,11,2,2,3,2,3,3,4,2,0,3,13,12,11,5,15,7,8,13,1,0,1,0,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,6,4,9,0,12,0
3,2015,6,15,0,12,13,13,16,20,4,3,20,20,4,2,20,5,7,6,7,7,2,1,7,18,0,0,6,5,4,3,20,0,14,18,3,0,18,20,20,11,0,3,4,10,8,8,11,6,7,7,7,8,7,6,2,1,7,16,16,15,14,15,8,5,8,1,1,2,2,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,6,1,2,0,10,0
3,2016,1,7,0,3,4,3,8,8,3,4,8,8,3,3,8,3,2,2,2,0,0,2,4,8,0,0,3,3,0,0,8,0,2,8,3,0,8,8,8,4,0,2,2,3,5,2,4,4,3,3,3,4,3,4,1,0,2,5,5,5,6,8,5,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,3,1
4,2010,3,8,2,4,5,5,10,10,5,5,10,10,6,5,10,3,2,3,2,4,4,2,5,10,4,0,1,1,0,0,10,0,10,4,3,0,5,10,8,9,3,0,3,6,4,5,3,4,2,7,6,6,4,5,2,3,1,7,6,5,8,6,4,5,10,3,2,3,2,3,3,4,3,4,3,3,2,3,2,3,3,3,3,0,4,3,3,3,3,3,2,3,3,2,2,8,1,5,1,8,0
4,2011,0,4,0,4,4,4,4,4,0,0,4,2,0,0,4,0,3,2,3,0,0,0,0,4,0,0,0,0,2,1,4,0,4,0,0,0,4,4,4,3,0,4,2,0,4,0,0,0,0,0,0,0,0,0,2,4,1,4,4,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,4,0
4,2012,0,14,0,7,6,5,13,18,9,8,16,16,6,7,18,7,9,9,6,0,3,0,7,16,1,0,3,2,1,1,15,1,15,11,7,2,12,14,13,8,2,2,6,8,5,2,10,7,5,5,5,6,4,6,7,3,2,10,10,10,12,11,10,10,7,2,1,3,3,1,2,3,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,1,1,2,2,2,2,2,2,4,5,10,10,12,5
4,2013,0,8,0,2,0,2,8,8,3,2,8,8,0,2,8,1,1,3,0,0,0,0,2,8,0,0,4,4,2,2,6,2,8,7,3,1,8,8,6,3,0,4,5,6,2,3,6,0,0,0,0,0,0,0,4,0,2,4,2,4,2,7,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,3,5,0
4,2014,0,2,0,1,1,1,2,2,0,0,2,2,0,0,2,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,2,1,0,0,2,2,2,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,2,2,0,2,0
5,2010,0,13,2,7,6,5,6,14,2,0,8,14,0,0,14,0,4,1,3,0,1,1,0,10,0,0,0,0,0,0,12,0,11,8,4,1,14,12,12,6,1,4,4,9,3,2,8,0,0,0,0,1,0,0,1,0,3,4,3,4,2,10,2,2,12,0,1,1,1,1,0,1,2,3,1,1,1,1,2,2,2,2,2,1,1,2,2,3,3,2,3,3,3,3,4,9,0,2,6,12,1
5,2012,3,7,2,6,4,5,15,16,1,0,16,14,1,1,12,1,1,1,2,0,0,3,13,20,2,0,0,0,0,0,18,0,20,12,2,2,16,13,18,15,4,4,8,4,7,2,17,2,2,0,2,2,2,2,4,0,4,6,9,7,16,6,5,4,10,8,5,7,7,6,7,7,9,9,8,8,10,7,6,8,5,6,7,9,7,7,8,8,8,7,8,10,9,7,9,9,0,6,1,19,4
5,2014,1,10,0,4,4,5,4,8,2,1,10,9,3,1,6,2,3,3,4,0,0,2,6,12,0,0,1,1,0,0,10,0,12,11,0,1,5,5,12,3,2,2,3,3,1,2,8,3,4,4,4,4,3,4,0,0,3,7,5,6,10,7,4,3,5,1,1,1,2,1,2,1,2,1,2,1,0,1,1,3,2,2,2,1,0,1,2,2,2,1,2,2,2,2,0,6,0,4,2,12,1
5,2015,0,9,2,5,4,5,9,11,2,2,11,11,2,2,10,2,3,3,3,0,1,2,8,12,0,2,2,2,0,0,12,0,12,4,1,2,9,9,12,10,0,0,6,5,6,1,11,0,0,1,1,1,2,1,1,2,2,6,4,4,7,8,0,2,10,3,1,2,2,3,3,3,1,2,2,2,3,3,2,2,3,4,3,3,0,2,2,3,3,2,2,2,2,2,5,4,0,0,0,12,1
5,2016,1,10,0,3,3,4,4,12,2,2,12,12,1,3,12,3,7,8,7,1,1,0,2,12,2,0,1,1,0,0,12,0,9,10,3,0,7,9,10,7,1,2,0,2,6,3,8,0,0,0,0,0,1,0,0,2,0,6,1,3,8,3,7,6,6,1,0,2,2,2,2,2,1,5,2,0,2,2,2,1,3,3,3,2,2,2,2,4,4,3,1,2,2,1,3,8,1,4,0,12,7
6,2010,9,15,0,15,13,10,7,18,13,12,17,19,10,10,20,11,9,11,9,4,8,1,16,20,0,1,3,3,3,2,13,6,16,19,15,2,20,20,16,4,2,4,8,3,1,16,11,4,5,6,2,4,4,4,3,0,12,5,4,5,7,14,11,8,18,14,11,15,16,17,16,17,16,16,16,16,16,15,15,16,14,15,14,16,16,15,16,16,16,14,16,14,14,14,16,17,14,10,2,20,0
6,2013,2,3,0,3,2,1,2,4,1,1,2,4,1,1,4,0,2,2,2,1,2,0,3,4,0,0,2,2,0,0,3,1,2,4,2,2,4,2,4,2,0,0,2,0,3,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,4,3,3,4,1,0,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,0,0,2,0,4,2,2,0,3,0
6,2014,9,14,0,9,8,11,10,15,5,7,13,15,5,5,12,5,3,4,3,11,11,2,10,16,0,2,7,8,1,1,10,4,12,16,11,1,15,16,16,6,0,4,5,2,6,8,9,2,3,5,6,6,5,5,8,0,9,2,2,2,6,8,8,10,16,14,10,12,12,13,11,14,13,10,14,14,14,13,14,13,13,10,12,14,13,13,12,14,14,12,13,13,13,14,11,15,11,6,0,15,2
6,2015,1,4,0,3,2,2,3,4,4,4,4,4,4,4,4,4,2,3,3,3,4,0,2,4,0,0,2,2,0,0,1,2,4,4,3,2,3,4,4,2,0,2,2,2,1,2,3,1,1,1,1,1,1,0,2,0,1,3,2,2,1,4,0,1,4,3,2,2,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3,2,4,4,4,1,3,0
6,2016,2,2,0,2,1,2,2,2,0,0,1,2,0,0,2,0,1,0,1,1,2,0,0,2,0,1,0,2,0,0,1,2,0,2,0,0,2,2,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,0
7,2010,5,8,1,8,8,9,14,14,4,1,12,13,3,1,14,2,1,1,1,0,3,2,3,14,6,5,3,5,4,7,6,5,14,14,5,1,8,12,14,0,2,4,2,2,0,0,8,7,6,7,7,7,3,7,3,4,12,3,3,3,4,1,13,13,14,2,4,3,3,5,4,4,5,4,4,4,5,4,4,4,3,5,4,4,5,5,3,5,5,5,1,5,5,4,2,16,4,1,11,16,4
7,2012,12,11,4,8,10,7,16,11,4,5,12,12,6,6,9,4,4,4,0,4,11,2,1,16,4,1,1,2,2,2,14,1,16,16,16,2,1,16,16,0,1,2,0,2,0,6,12,14,13,14,14,14,14,14,3,0,16,1,1,1,7,5,16,16,16,8,10,9,9,10,11,9,11,10,9,9,9,10,10,11,10,6,10,10,8,9,10,10,10,9,11,10,10,9,8,16,8,4,4,16,2
7,2013,13,13,0,11,13,12,20,20,9,8,18,20,11,8,20,9,2,2,0,1,12,3,6,20,11,2,2,2,2,2,18,2,20,20,17,4,7,18,20,0,0,4,0,2,0,5,9,12,15,16,13,16,10,14,3,4,20,4,4,5,12,11,20,20,19,11,7,9,7,11,11,11,10,8,10,9,11,11,10,10,11,6,6,10,8,10,9,9,9,9,10,10,10,10,8,20,11,6,7,20,1
7,2014,7,9,2,12,11,14,18,13,2,3,15,12,2,4,13,2,0,1,1,7,5,1,7,18,7,6,5,6,6,5,13,6,18,18,8,4,10,16,18,0,8,8,2,4,0,4,8,13,13,15,15,16,9,14,0,4,12,6,7,6,5,7,18,18,18,9,7,8,8,9,8,9,10,9,7,5,7,10,10,9,7,8,5,5,8,7,10,9,10,8,8,9,8,8,8,18,3,3,13,18,8
7,2016,13,6,2,9,9,10,18,17,3,3,18,17,3,2,16,2,0,0,0,0,3,3,3,18,5,5,6,5,4,5,12,4,18,18,9,1,12,14,18,0,1,8,9,4,1,10,10,11,9,11,13,13,6,12,0,2,18,2,4,2,13,5,16,18,18,6,5,5,6,7,5,5,5,6,6,5,6,7,6,6,6,2,3,6,7,5,6,6,6,7,7,6,6,4,4,18,1,1,16,16,5
8,2011,1,3,0,5,4,6,1,8,8,8,8,8,8,8,8,4,3,3,0,0,1,0,8,7,1,0,0,0,1,2,3,4,8,6,3,0,0,8,0,8,8,2,6,1,7,8,3,4,5,5,6,5,7,4,0,3,0,0,0,0,2,0,6,2,7,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,8,5,5,0,8,0
8,2014,0,1,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,0,0,0,1,2,0,2,2,2,0,0,0,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0
8,2015,7,7,0,9,9,9,8,4,5,3,4,5,4,5,6,4,1,1,0,7,8,1,10,9,8,6,5,6,6,6,2,8,5,1,5,0,0,10,3,10,6,0,3,1,5,9,4,5,7,7,7,7,5,7,0,8,2,2,2,1,4,0,10,5,10,1,2,2,2,3,2,1,2,3,3,3,4,3,2,2,2,3,3,3,2,1,2,3,3,3,3,3,3,2,3,8,5,4,0,10,0
